"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试登录功能（参数化）","0","test_login[\u4e0d\u5b58\u5728\u7684\u7528\u6237]","tests","Thu Apr 23 03:34:22 UTC 2026","broken","Thu Apr 23 03:34:22 UTC 2026","","test_login","",""
"","0","test_generate_with_options[\u751f\u6210\u53d8\u5f02\u6570\u636e]","tests","Thu Apr 23 03:34:22 UTC 2026","broken","Thu Apr 23 03:34:22 UTC 2026","TestGenerateOptions","test_generate_options","",""
"","0","test_generate_with_options[\u540c\u65f6\u542f\u7528\u591a\u4e2a\u9009\u9879]","tests","Thu Apr 23 03:34:22 UTC 2026","broken","Thu Apr 23 03:34:22 UTC 2026","TestGenerateOptions","test_generate_options","",""
"","0","test_switch_to_openapi_source","tests","Thu Apr 23 03:34:22 UTC 2026","broken","Thu Apr 23 03:34:22 UTC 2026","TestSourceSwitch","test_source_switch","",""
"","0","test_output_format[JSON\u683c\u5f0f\u8f93\u51fa]","tests","Thu Apr 23 03:34:22 UTC 2026","broken","Thu Apr 23 03:34:22 UTC 2026","TestOutputFormat","test_output_format","",""
"测试登录功能（参数化）","0","test_login[\u6b63\u786e\u7528\u6237\u540d\u5bc6\u7801]","tests","Thu Apr 23 03:34:22 UTC 2026","broken","Thu Apr 23 03:34:22 UTC 2026","","test_login","",""
"","0","test_generate_with_options[\u751f\u6210\u8986\u76d6\u7387\u62a5\u544a]","tests","Thu Apr 23 03:34:22 UTC 2026","broken","Thu Apr 23 03:34:22 UTC 2026","TestGenerateOptions","test_generate_options","",""
"测试登录功能（参数化）","0","test_login[\u9519\u8bef\u5bc6\u7801]","tests","Thu Apr 23 03:34:22 UTC 2026","broken","Thu Apr 23 03:34:22 UTC 2026","","test_login","",""
"","0","test_generate_data[\u751f\u6210\u591a\u4e2a\u5bf9\u8c61]","tests","Thu Apr 23 03:34:22 UTC 2026","broken","Thu Apr 23 03:34:22 UTC 2026","TestDataGenerate","test_generate","",""
"","0","test_output_format[CSV\u683c\u5f0f\u8f93\u51fa]","tests","Thu Apr 23 03:34:22 UTC 2026","broken","Thu Apr 23 03:34:22 UTC 2026","TestOutputFormat","test_output_format","",""
"","0","test_output_format[SQL\u683c\u5f0f\u8f93\u51fa]","tests","Thu Apr 23 03:34:22 UTC 2026","broken","Thu Apr 23 03:34:22 UTC 2026","TestOutputFormat","test_output_format","",""
"","0","test_switch_to_file_source","tests","Thu Apr 23 03:34:22 UTC 2026","broken","Thu Apr 23 03:34:22 UTC 2026","TestSourceSwitch","test_source_switch","",""
"测试登录功能（参数化）","0","test_login[\u5bc6\u7801\u4e3a\u7a7a]","tests","Thu Apr 23 03:34:22 UTC 2026","broken","Thu Apr 23 03:34:22 UTC 2026","","test_login","",""
"测试未登录时访问生成页需要登录","0","test_login_required","tests","Thu Apr 23 03:34:22 UTC 2026","broken","Thu Apr 23 03:34:22 UTC 2026","","test_login","",""
"","0","test_generate_with_options[\u542f\u7528\u667a\u80fd\u8986\u76d6\u6a21\u5f0f]","tests","Thu Apr 23 03:34:22 UTC 2026","broken","Thu Apr 23 03:34:22 UTC 2026","TestGenerateOptions","test_generate_options","",""
"","0","test_upload_openapi_file","tests","Thu Apr 23 03:34:22 UTC 2026","broken","Thu Apr 23 03:34:22 UTC 2026","TestOpenapiUpload","test_openapi_upload","",""
"测试登录功能（参数化）","0","test_login[\u7528\u6237\u540d\u4e3a\u7a7a]","tests","Thu Apr 23 03:34:22 UTC 2026","broken","Thu Apr 23 03:34:22 UTC 2026","","test_login","",""
"","0","test_generate_data[\u751f\u6210\u7b80\u5355\u5bf9\u8c61]","tests","Thu Apr 23 03:34:22 UTC 2026","broken","Thu Apr 23 03:34:22 UTC 2026","TestDataGenerate","test_generate","",""
"","0","test_upload_schema_file","tests","Thu Apr 23 03:34:14 UTC 2026","broken","Thu Apr 23 03:34:14 UTC 2026","TestFileUpload","test_file_upload","",""
